"mean","lower","upper"
6.61003047166149,6.71304580971783,6.50015783307731
7.27350347078524,7.36763614084044,7.17339075316377
7.88191765854705,7.97832631524587,7.78072799335783
8.51619913708565,8.62485456482427,8.40476217298121
9.15930786791031,9.27696572087327,9.03886104802022
9.81043680167521,9.93494297195953,9.68277301770216
10.4370982380256,10.5594997906213,10.3131945220367
11.0724515614255,11.2423996311663,10.9305161295985
11.9042100328162,12.0904776962086,11.7382304861443
12.8638431524904,13.0867850095192,12.661330396829
13.9794896193926,14.276647763541,13.7402125454958
15.3781609778041,15.7925966231328,15.0366990434062
17.4595281744803,18.0469096030383,17.0031578937844
20.8823671177544,21.8740407659427,20.2869429833656
27.028810372016,27.9719649101972,25.9798409505831
